cde,report_name,index,cde_name,relevance,characteristics,defined,sphere,layer,subcategory,form,example,aliases,rex,rex_confidence,id_confidence_notes,intrinsic_CDE,extrinsic_CDE,descendant_CDEs,ancestor_CDEs,master_CDE,python_type,default_extension,Notes
Key Field,"16 Char limit name. Used for report column headers, and key field derived from this","1 - It's an Index.  Though not used as a key field, often used programmatically for iteration","CDE Name (Official: acronyms acceptable).  Orange is default key ID for sphere, (light orange is fallback)","Relevance to end user.  values over 4 are assumed to be 'Under the hood' (uth): used programmatically, not displayed to end user except by special call.  Value of 1 is returned in other sphere's queries",field to assist in programmatically IDing/generating rex,"where defined, if formally defined",Sphere of Function.  CDEs have have a higher correlation score with others within their sphere,,,"aka Class, but we can't use that one :).  Defines handling: conversion to this form is mandatory, and takes place during Ingestion",example of term after conversion to form,Common aliases for header lookups.  Includes misspellings because. . .reasons.  Could use as key to determine what rex to call for identification,Regex is king!,Confidence is specified by the function used to id the term (ie Regex),FLI,Current CDE contains [$] (eg IPv4 Addr contains IPv4 Octet 1)...how would this be implemented differently than a tool call?,Current CDE is contained by [$],Can derive [CDE] from current index via tool,"Current index may be derived from [#] via tool (also if [#] is known, can confirm correlation)","Derive master CDE via tool prior to further conversions/lookups.  Ordered lookup: will attempt first term, then second, etc.  By default will assume create master key from original term if no derivations found (self-referential included for explicit top levels)",,,
arraysatzero,Arrays at Zero,2,Arrays Start at Zero (sadly the two header rows make this joke fall flat),8,,,,,,,,,.^,10,I'm absolutely certain arrays start at 0,DNA,DNA,,,,list,.txt,
ingest,Ingest,3,Ingest,1,Calls ingest module,,Programmatic,8,Meta,Python,,DNA,.^,10,Only called via descendant,DNA,DNA,,,Tail,string,.txt,
multiterm,Multiterm,4,Multiple Terms,1,comma or other separator separated terms,,Term,8,Meta,Term,"this, that, there",DNA,"\b(.*,.*,|.*;.*;)",10,,,,url;arraysatzero,,,list,.txt,
likelymultiterm,Likely Multiterm,5,Multiple Terms Low Confidence,1,comma or other separator separated terms,,Term,8,Meta,Term,"this, that",DNA,"\b(.*,.*|.*;.*)",8,"Might not be a multiterm, may be something with a comma in it",,,filename;ingest,,ingest,list,.txt,The idea being low confidence would also be run through the rest of the rex to see if there was a different match
csvfilepath,CSV Filepath,6,CSV Filepath,1,*.csv,,File,8,Meta,Filename;URL;Term,,DNA,\b.*\.csv\b,10,,,,filename;ingest,,ingest,string,.txt,The tough part will be to recognize whether this is a file for ingesting vs an actual term in a field
excelfilepath,Excel Filepath,7,Excel Filepath,1,"*.xls;*.xlsx,*.xlsb",,File,8,Meta,Filename;URL;Term,,DNA,\b.*\.(xlsb|xlsx|xls)\b,10,,,,filename;ingest,,ingest,string,.txt,The tough part will be to recognize whether this is a file for ingesting vs an actual term in a field
txtfilepath,TXT Filepath,8,TXT Filepath,1,*.txt,,File,8,Meta,Filename;URL;Term,,DNA,\b.*\.txt\b,10,,,,filename;ingest,,ingest,string,.txt,The tough part will be to recognize whether this is a file for ingesting vs an actual term in a field
jsonfilepath,JSON Filepath,9,JSON Filepath,1,*.json,,File,8,Meta,Filename;URL;Term,,DNA,\b.*\.json\b,10,,,,filename;ingest,,ingest,string,.txt,The tough part will be to recognize whether this is a file for ingesting vs an actual term in a field
otherfilepath,Other Filepath,10,Other Filepath,3,,,File,8,Meta,,,DNA,.^,,,,,,,Ingest,string,.txt,
url,URL,11,URL,2,,,Networking,7,Meta,URL,,"website,link,",.^,,,,,,,,string,.txt,
filename,Filename,12,Filename,1,*.[extension],,File,8,Meta,Dict,,,.^,,,,,,,,string,.txt,
ipv4loopback,IPv4 Loopback,13,IPv4 Loopback Address,5,127.0.0.1/8,,Networking,3,Network,IPv4,127.0.0.1,"loopback,",\b(127\.((25[0-5]|2[0-4]\d|[01]?\d\d?)\.){2}(25[0-5]|2[0-4]\d|[01]?\d\d?))\b,10,,,,,,Tail,string,.txt,
ipv4pvtrange,IPv4 Pvt Range,14,IPv4 Range,4,,,PrivateNetworks,3,,"IPv4CIDR or [IPv4,IPv4,IPv4...]","192.168.0.1,192.168.0.2,192.168.0.3...","iprange,ipblock,ipspace",.^,,,ipv4pvtipcidr;ipv4privateip,,ipv4pvtipcidr,,ipv4pvtipcidr;ipv4privateip,string,.txt,Standard form for display is either IPv4/CIDR (preferred) or list of IPs.
ipv4pubrange,IPv4 Pub Range,15,IPv4 Range,4,,,PublicNetworks,3,Network,"IPv4CIDR or [IPv4,IPv4,IPv4...]","192.168.0.1,192.168.0.2,192.168.0.3...","iprange,ipblock,ipspace",.^,,,ipv4pubipcidr;ipv4publicip,,ipv4pubipcidr,,ipv4pubipcidr;ipv4publicip,string,.txt,Standard form for display is either IPv4/CIDR (preferred) or list of IPs.
ipv4pvtipcidr,IPv4 Pvt IP/CIDR,16,IPv4 Private Address with CIDR,2,Defined in RFC-1918,RFC-1918,PrivateNetworks,3,Network,CIDR,192.168.0.1/24,"ipblock,iprange,ipspace",\b(10\.((25[0-5]|2[0-4]\d|[01]?\d\d?)\.){2}(25[0-5]|2[0-4]\d|[01]?\d\d?))\/[1-3]?\d|(172\.(([1-3]\d)\.)((25[0-5]|2[0-4]\d|[01]?\d\d?)\.)(25[0-5]|2[0-4]\d|[01]?\d\d?))\/[1-3]?\d|(192\.168\.((25[0-5]|2[0-4]\d|[01]?\d\d?)\.)(25[0-5]|2[0-4]\d|[01]?\d\d?))\/[1-3]?\d\b,10,,ipv4privateip;ipv4subnet;cidrnotation;ipv4netid;broadcastaddr,,ipv4privateip;ipv4subnet;cidrnotation;ipv4netid;broadcastaddr,,ipv4privateip,string,.txt,Should be able to freely convert back and forth between list of IPs and IPv4/CIDR
ipv4privateip,IPv4 Private IP,17,IPv4 Private Address,1,Defined in RFC-1918,RFC-1918,PrivateNetworks,3,Host,IPv4,192.168.0.2,"address,ipaddress,ipaddr,ip,ipv4,privip,privateip,private",\b(10\.((25[0-5]|2[0-4]\d|[01]?\d\d?)\.){2}(25[0-5]|2[0-4]\d|[01]?\d\d?))|(172\.(([1-3]\d)\.)((25[0-5]|2[0-4]\d|[01]?\d\d?)\.)(25[0-5]|2[0-4]\d|[01]?\d\d?))|(192\.168\.((25[0-5]|2[0-4]\d|[01]?\d\d?)\.)(25[0-5]|2[0-4]\d|[01]?\d\d?))\b,10,, ,,hostname;fqdn;domain;alias;ispingable,ipv4pvtipcidr,hostname;ipv4privateip,string,.txt,"URL ascendant when in the form http://10.10.10.125:8080.  Using hostname as master term, DHCP workstations are example of why"
ipv4pubipcidr,IPv4 Pub IP/CIDR,18,IPv4 Public Address with CIDR,2,0-254.0-255.0-255.0-254,,PublicNetworks,3,Network,IPv4CIDR,8.8.8.8/32,"ipblock,iprange,ipspace",\b((25[0-5]|2[0-4]\d|[01]?\d\d?)\.){3}(25[0-5]|2[0-4]\d|[01]?\d\d?)\/[1-3]?\d\b,9,,ipv4publicip,,ipv4publicip;ipv4subnet;cidrnotation;ipv4netid;broadcastaddr,,,string,.txt,
ipv4publicip,IPv4 Public IP,19,IPv4 Public Address,1,Defined in RFC-791,RFC-791,PublicNetworks,3,Host,IPv4,8.8.8.8,"address,ipaddress,ipaddr,ip,ipv4,pubip,publicip,public",\b((25[0-5]|2[0-4]\d|[01]?\d\d?)\.){3}(25[0-5]|2[0-4]\d|[01]?\d\d?)\b,8,"Conf of 8 - Could be multicast, etc.  Additional filters would bring to 10 (note also there is a MAC address format that uses aab.bcc.112.223, which is disgusting but has a vanishingly small chance of collisions)",,,domain;extfqdn;hostname;alias;ispingable,ipv4pubipcidr,ipv4publicip,string,.txt,"Would like to have ExternalFQDN be master, but as often as not this returns something like '<ip>.ip.incapdns.net' or something"
ipv4octet1,IPv4 Octet 1,20,IPv4 Octet 1,8,0-255,,Networking,3,Network,Octet,255,"ipv4octet,octet",.^,,,,,,,Tail,int,.txt,
ipv4octet2,IPv4 Octet 2,21,IPv4 Octet 2,8,0-255,,Networking,3,Network,Octet,255,"ipv4octet,octet",.^,,,,,,,Tail,int,.txt,
ipv4octet3,IPv4 Octet 3,22,IPv4 Octet 3,8,0-255,,Networking,3,Network,Octet,255,"ipv4octet,octet",.^,,,,,,,Tail,int,.txt,
ipv4octet4,IPv4 Octet 4,23,IPv4 Octet 4,8,0-255,,Networking,3,Network,Octet,255,"ipv4octet,octet",.^,,,,,,,Tail,int,.txt,
ipv4subnet,IPv4 Subnet,24,IPv4 Subnet,4,0-255.0-255.0-255.0-255,,Networking,3,Network,IPv4,255.255.255.0,"ipv4subnet,subnet",\b((255)(255|2[0-4]\d|[01]?\d\d?)\.){2}(25[0-5]|2[0-4]\d|[01]?\d\d?)\b,9,,,,cidrnotation,,cidrnotation,string,.txt,"Strictly speaking, won't match subnets smaller than /8. . .but it's vanishingly rare that functionality would be needed"
ipv4wildcard,IPv4 Wildcard,25,IPv4 Wildcard,5,0-255.0-255.0-255.0-255,,Networking,3,Network,IPv4,0.0.0.255,"ipv4wildcard,wildcard",\b0\.((255|2[0-4]\d|[01]?\d\d?)\.){2}(255|2[0-4]\d|[01]?\d\d?)\b,,,,,ipv4subnet,,ipv4subnet,string,.txt,Cisco's weird reverse mask thing
cidrnotation,CIDR Notation,26,IPv4 CIDR Notation,8,/1-32,,Networking,3,Network,CIDR,/24,"ipv4cidrnotation,ipv4cidr,cidrnotation,cidr,notation,ipv4subnet",\b\/[1-3]?\d\b,,,,,ipv4subnet,,cidrnotation,string,.txt,"This needs to match much later, after the field types that may have /# in them are satisfied (for example hostnames like MLWMAD12/13)"
ipv4netid,IPv4 NetID,27,IPv4 Network ID,5,,,Networking,3,Network,IPv4,192.168.0.1,"networkidentifier,networkid,netid,networkaddress,networkaddr,netaddr",.^,,,,,,,Tail,string,.txt,"In conjunction with BroadcastAddr, could derive CIDR, but eh.  Low priority"
broadcastaddr,Broadcast Addr,28,IPv4 Broadcast Address,5,,,Networking,3,Network,IPv4,192.168.0.255,"broadcastaddress,broadcastaddr,broadcast",.^,,,,,,,Tail,string,.txt,
